District,HospitalName,Area,Only_Hosp_Name,
Namakkal,"CHC - Swami Vivekanandha Medical College Hospital and R.I., Elayampalayam",Elayampalayam,"Swami Vivekanandha Medical College Hospital and R.I., Elayampalayam",
Namakkal,CHC - Thangam Hospital,Namakkal,Thangam Hospital,
Namakkal,CHC - THIRUKUMARAN HOSPITAL,Thiruchengodu,THIRUKUMARAN HOSPITAL,
Namakkal,CCC - THIRUVALLUVAR ARTS COLLEGE CCC,Rasipuram,THIRUVALLUVAR ARTS COLLEGE CCC,
Namakkal,CHC - TIRUCHENGODE GH,Thiruchengodu,TIRUCHENGODE GH,
Namakkal,"CHC - Varnashree Clinic, Kalappanaickanpatti",Kalappanaickanpatti,"Varnashree Clinic, Kalappanaickanpatti",
Namakkal,CHC - Varun Hospital,Rasipuram,Varun Hospital,
Namakkal,CHC - VENNANDHUR GH,Vennandhur,VENNANDHUR GH,
Namakkal,CHC - Visaalam Hospital,Pallipalayam,Visaalam Hospital,
Namakkal,"CHC - Vivekananda Medical Care Hospital, Tiruchengode",Thiruchengodu,"Vivekananda Medical Care Hospital, Tiruchengode",
Namakkal,CCC - VIVEKANANDHA SIDDHA CCC,Unknown,VIVEKANANDHA SIDDHA CCC,
Namakkal,CCC - VT Puram PHC,Vinaitheerthapuram,VT Puram PHC,
Namakkal,ICCC - VT Puram PHC,Vinaitheerthapuram,VT Puram PHC,
