HospitalName,Address,District,,
CCC - Anniyur,"Anniyur Health care center,Anniyur Health care center,Anniyur,Vikkiravandi",Villupuram,,
"CHC - E.S.HOSPITAL,VILLUPURAM TN."," No: 32-B, Trichy Trunk Road, Viluppuram, Tamil Nadu 605602, No: 32-B, Trichy Trunk Road, Viluppuram, Tamil Nadu 605602,Villupuram,Villupuram",Villupuram,,
CHC - GINGEE GH,"Thindivanam road,Gingee",Villupuram,,
CHO - GVMCH,"Mundiyampakkam,Villupuram",Villupuram,,
CCC - Govt BEd College Villupuram,,Villupuram,,
"CHC - I Med Super Speciality Hospital, Villupuram TN.","15/1B, Marakkanam Rd ,Wahab Nagar, Tindivanam, Tamil Nadu 604001 ,15/1B, Marakkanam Rd ,Wahab Nagar, Tindivanam, Tamil Nadu 604001 ,Tindivanam,Tindivanam",Villupuram,,
CCC - Iruvelpattu,"Iruvelpattu health care Center,Iruvelpattu health care Center,Iruvelpattu,Thiruvennainallur",Villupuram,,
CCC - Kandamanadi,"Kandamanadi Health care center,Kandamanadi Health care center,Kandamanadi,Villupuram",Villupuram,,
CCC - Kiliyanur,"Killiyanur Health care Center,Killiyanur Health care Center,Killiyanur,Vanur",Villupuram,,
CCC - Law College hostel Perumbakkam CCC Siddha covid care centre,"opp. Chennai silks, ,Salamedu, Viluppuram, Tamil Nadu 605602,Villupuram",Villupuram,,
CCC - Law College hostel Pidagam,,Villupuram,,
CCC - Mailam,"Mailam Health care center,Mailam Health care center,Mailam,Tindivanam",Villupuram,,
"CHC - Maragadam Hospital, Villupuram","East Pondy Rd, Near Gandhi Statue, Mandhakarai, Viluppuram, Tamil Nadu 605602,Villupuram,Villupuram",Villupuram,,
CCC - Melchithamur,"Mesithamur Health Care center,Mesithamur Health Care center,Melsithamur,Gingee",Villupuram,,
CCC - Mugaiyur,"Mugaiyur health Care center,Mugaiyur health Care center,Mugaiyur,Kandachipuram",Villupuram,,
CCC - Murukkeri,"Murukkeri Health care center,Murukkeri Health care center,Murukkeri,Marakkanam",Villupuram,,
CCC - Olakkur,"Olakkur health care center,Olakkur health care center,olakkur,Tindivanam",Villupuram,,
CCC - Paul's Engineering College,"pondy-tindivanam mainroad,pauls nagar,TC koot road,Vanur",Villupuram,,
CCC - Police quarters Valathy,,Villupuram,,
CCC - Polytechnic college Arankandanallur,,Villupuram,,
CCC - Radhapuram,"Radhapuram Community Health Center,Radhapuram Community Health Center,Radhapuram,Vikkiravandi",Villupuram,,
CCC - Sathiamangalam,"Sathiyamangalam Community health center,Sathiyamangalam Community health cente,sathiyamangalam,Gingee",Villupuram,,
