HospitalName,Address,District,,
" CHC - UdhayamChildrens Clinic, Vidyalayam",,Tiruppur,,
CHC - Udumalpet GH,"Govt Hospital,VOC street,Udumalet,Udumalpet",Tiruppur,,
CHC - Uthukuli GH,"AYYAMPALAYAM UTHUKULI TOWN,NEAR UTHUKULI TOWN,AYYAMPALAYAM,Uthukkuli",Tiruppur,,
"CHC - Vel Hospital,Dharapuram","99, udumalai road, dharapuram,99, udumalai road, dharapuram,Dharapuram,Dharapuram",Tiruppur,,
"CHC - Vel Hospital,Udumelpet","24,nehru street,udumalaipettai,24,nehru street,udumalaipettai,Udumalaipettai,Udumalpet",Tiruppur,,
"CHC - Velan Hospital,Gandhi Road,Avinashi, Tirupur TN.","No.31, 32 A1/3, Gandhi Raod, Anuparpalayam pudhur, Tirupur - 641652,Tiruppur North",Tiruppur,,
 CCC - muthur,,Tiruppur,,
"CHC - Annai Velankanni Multi Speciality Hospital, Palayamkottai","No. 1/111, Somasinayanar Street, Murugankurichi,Palayamkottai,Palayamkottai,Palayamkottai",Tirunelveli,,
"CCC - Beedi Worker Hospital, Mukkudal",,Tirunelveli,,
" CHC - CSI Bellpins Indirani Chelladurai Mission Hospital, Palayamkottai",,Tirunelveli,,
"CHO - CSI Bellpins Mission  Indrani Chelladurai Mission Hospital, Tirunelveli","CSI Bellpins Indrani Chelladurai Mission Hospital,Thiruchendur road,Palayamcottai,Palayamkottai",Tirunelveli,,
" CHC - Chella Surya Hospital, Tirunelveli",,Tirunelveli,,
CCC - Corporation Marriage Hall,,Tirunelveli,,
 CHC - Dr.Ashraf ortho hospital,"221-A,QUID-E-MILLATH ROAD,PETTAI,Manur",Tirunelveli,,
"CCC - FX Polytechnic, Tharuvai","Fx polytechnic Covid care centre,Ambai main road,PALAYAMKOTTAI ,Palayamkottai",Tirunelveli,,
 CCC - GandhiMathi School	,,Tirunelveli,,
" CHC - Gem Head and Neck Hospital, Tirunelveli",,Tirunelveli,,
"CHO - Gold Child & Chest Hospital,Vannarpettai","86 salai street, Vannarpettai, Tirunelveli ,86 salai street, Vannarpettai, Tirunelveli ,Vanarapettai ,Tirunelveli",Tirunelveli,,
" CCC - Government Engineering College, Tirunelveli	",,Tirunelveli,,
CCC - Govt. Siddha Medical College Hospital,,Tirunelveli,,
CCC - Kallur,,Tirunelveli,,
CCC - Kokkirakulam,,Tirunelveli,,
CHO - Koodankulam GH,"NORTH STREET, GOVERNMENT HOSPITAL, KOODANKULAM,NEAR GOVERNMENT HIGHER SECONDARY SCHOOL, KOODANKULAM,Radhapuram",Tirunelveli,,
"CHO - Krishna Maternity Home &Peadiatric Centre, Palayamkottai","4 North high ground road, Palayamkottai, Tirunelveli ,4 North high ground road, Palayamkottai, Tirunelveli ,Palayamkottai ,Palayamkottai",Tirunelveli,,
CCC - MV Puram,,Tirunelveli,,
CCC - Melapalayam,,Tirunelveli,,
CCC - Mukkudal,,Tirunelveli,,
CCC - Munanjipatti,,Tirunelveli,,
" CHC - Muthamiz Hospital, Palyyamkottai",,Tirunelveli,,
"CHO - Muthu Hospital,Kulavanigarpuram","Kulavanigarpuram,Palayamkottai",Tirunelveli,,
 CHC - NEW CRESCENT HOSPITAL,"92/6B/1, NETHAJI ROAD,MELAPALAYAM,TIRUNELVELI,Palayamkottai",Tirunelveli,,
"CHC - NMS Hospital, Sankarankovil","169CMAIN ROAD,SANKARAN KOVIL,Sankarankovil",Tirunelveli,,
 CHC - New Crescent Hospital Melapalayam,"Nethaji Road,Melapalayam,Palayamkottai",Tirunelveli,,
CHC - PEACE HEALTH CENTRE,"48H/5, SOUTH BYE PASS ROAD, NEAR NEW BUS STAND , TIRUNELVELI,NEAR NEW BUS STAND ,Palayamkottai",Tirunelveli,,
CCC - Palayamkottai,,Tirunelveli,,
CCC - Palayapettai,,Tirunelveli,,
CCC - Panagudi,,Tirunelveli,,
CCC - Pathamadai,,Tirunelveli,,
CCC - Pattapathu,,Tirunelveli,,
CCC - Perumalpuram,,Tirunelveli,,
CCC - Pettai,,Tirunelveli,,
CHC - Ponra Multispeciality Hospital,"Vasantham nagar nr new bus stand,Palayamkottai",Tirunelveli,,
 CHC - RSP Nursing Home and RSP Cardio thoracic R&C,,Tirunelveli,,
CCC - Reddiarpatti,,Tirunelveli,,
"CHC - Rosemary Mission Hospitals & Research Centre, Vannarpettai","south byepass road,vannarapettai ,Palayamkottai",Tirunelveli,,
"CHC - Royal Hospital, NGO Colony","NGO Colony,Palayamkottai",Tirunelveli,,
CCC - Samathanapuram,,Tirunelveli,,
CCC - Scad Engineering College,"Cheranmahadevi,Cheranmahadevi",Tirunelveli,,
" CHC - Selvan Hospital, Malapalayam",,Tirunelveli,,
CHC - Shifa Hospital,"82,kailasapuram middle street,tirunelveli junction,Tirunelveli",Tirunelveli,,
" CHC - Shree Vijaya Hospital, Malapalayam",,Tirunelveli,,
"CCC - Sivanantha Hospital, Pathamadai","PATHAMADAI ROAD,Cheranmahadevi",Tirunelveli,,
" CHC - Sri Sakthi Hospital, Tirunelveli","Near New Bus stand,Palayamkottai",Tirunelveli,,
" CHC - Sri Sakthi Hospitals, Tirunelveli",,Tirunelveli,,
" CHC - Sri Vishnu Priya Hospital, Palayamkottai","72A, Sadakathullah Appa College Road,Rahmath Nagar,Palayamkottai",Tirunelveli,,
"CHC - Sudharson Platinum Hospitals, Vannarpettai","Vannarpettai,Tirunelveli",Tirunelveli,,
CCC - Thirugurungudi,,Tirunelveli,,
CCC - Thisaianvilai,,Tirunelveli,,
CHO - Tirunelveli Medical College Hospital,"HIGH GROUNDS,TIRUNELVELI-11,HIGH GROUNDS,Palayamkottai",Tirunelveli,,
CCC - Ukkirankotttai,,Tirunelveli,,
CHC - VJ Hospital,"12.STC COLLEGE ROAD,PERUMALPURAM,Palayamkottai",Tirunelveli,,
CCC - Vairavikulam,,Tirunelveli,,
"CHC - Aarthi Hospital, Kovilpatti","60,SANTHAIPETTAI STREET,KOVILPATTI,Kovilpatty",Thoothukudi,,
CHC - Arputham Hospital,"184/4 VVD MAIN ROAD,THOOTHUKUDI,THOOTHUKUDI,Thoothukudi",Thoothukudi,,
"CHO - City Hospital, Tuticorin","106G/8, palai main road,Opposite to VOC petrol bunk ,Millerpuram,Thoothukudi",Thoothukudi,,
"CHC - DHQH,KOVILPATTI","NEW ROAD, KOVILPATTI,NEW ROAD, KOVILPATTI,KOVILPATTI",Thoothukudi,,
CCC - Eral,"NATTARAMMAN KOVIL STREET,ERAL,ERAL,Eral",Thoothukudi,,
"CHC - GH, ETTAYAPURAM","Government hospital naduvapatti Ettayapuram ,Ettayapuram",Thoothukudi,,
"CHC - GH, KALANKUDIYIRUPPU","NO1 NADUKKADAI STREET  KALANKUDIYIRUPPU  UDANGUDI TUTUCORIN DIST,UDANGUDI,Tiruchendur",Thoothukudi,,
"CHC - GH, SRIVAIKUNDAM","Government hospital,Srivaikundam,Arasu alwar kovil Street ,Srivaikundam",Thoothukudi,,
"CHC - GH, VILATHIKULAM","Hospital road vilathikulam,Thoothukudi",Thoothukudi,,
"CHC - GH,KAYALPATTINAM","Maruthuvar Street,Tiruchendur",Thoothukudi,,
"CHC - GH,OTTAPIDARAM","NORTH PARUMBUR, OTTAPIDARAM,NORTH PARUMBUR, OTTAPIDARAM,OTTAPIDARAM,Ottapidaram",Thoothukudi,,
"CHC - GH,TIRUCHENDUR","KAMARAJAR SALAI,TIRUCHENDUR,Tiruchendur",Thoothukudi,,
CHC - GOVT HOSPITAL SATHANKULAM,"38, SOUTH CAR STREET,.,Sattankulam",Thoothukudi,,
"CCC - GOVT POLYTECHNIC COLLEGE, THOOTHUKUDI","GOVERNMENT POLYTECHNIC COLLEGE,PALYAMKOTTAI ROAD,THOOTHUKUDI,CORPORATION,Thoothukudi",Thoothukudi,,
CCC - GPHC Alwarthirunagari,"10,11 UDAIYAVAR MELA MADA VEETHY,NEAR THEPPAKULAM STREET,ALWARTHIRUNAGARI,Eral",Thoothukudi,,
"CHC - Jayashri Hospital,Tuticorin",,Thoothukudi,,
"CHC - K.M.T Hospital, Kayalpatnam","KMT HOSPITAL, TIRUCHENDUR, KAYALPATNAM,KMT HOSPITAL, TIRUCHENDUR, KAYALPATNAM,KAYALPATNAM,Tiruchendur",Thoothukudi,,
 CCC - Kalugumalai,,Thoothukudi,,
"CHC - Kamala Speciality Hospitals Pvt Limited, Kovilpatti","No 46 &48 Sathaipettai st Kovilpatti,No 46 &48 Sathaipettai st Kovilpatti,KOVILPATTI,Kovilpatty",Thoothukudi,,
 CCC - Karungulam UPHC,"Karungulam UPHC,Karungulam,Srivaikundam",Thoothukudi,,
 CCC - Kayamoli,"RAMANATHAPURAM, KAYAMOZHI,KAYAMOZHI,Tiruchendur",Thoothukudi,,
 CCC - Keelairal,,Thoothukudi,,
"CCC - LAPC , KOVILPATTI","LAKSHMI AMMAL POLYTECHNIC COLLAGE, K.R NAGAR, NALATINPUTHUR, KOVILPATTI,KOVILPATTI ,Kovilpatty",Thoothukudi,,
"CHC - Latha Hospital, Kovilpatti","65- Dhanuskodiapuram Street,,Opp. Reliance Fuel Station, New Road,Kovilpatty",Thoothukudi,,
"CHO - Laxmi Poly Clinic, Polepettai West, Tuticorin",,Thoothukudi,,
CCC - Meignanapuram,"MEIGHNANAPURAM UPGRADED PRIMARY HEALTH CARE CENTRE ,Tiruchendur",Thoothukudi,,
 CCC - Mudalur Sathangulam Block Hospital,"MAIN ROAD, MUDALUR,NEAR ALWA KADAI,MUDALUR,Sattankulam",Thoothukudi,,
CCC - National Engineering college,"NATIONAL ENGINEERING COLLEGE WOMENS HOSTEL, K.R.NAGAR ,NALATINPUTHUR,KOVILPATTI,Kovilpatty",Thoothukudi,,
CHC - Public Welfare Hospital,"No. 239 B/13, Ettayapuram Road, Kovilpatti,No. 239 B/13, Ettayapuram Road, Kovilpatti,Kovilpatti,Kovilpatty",Thoothukudi,,
CCC - Pudukottai,"Government primary health centre,Pudukottai,Kumaragiri,Ottapidaram",Thoothukudi,,
"CHO - RMS Hospital, Kovilpatti",,Thoothukudi,,
 CHC - Royal Hospital,"1 / 514-4. Ettayapuram road ,Mapillaurani vilaku ,Near Hyundai car showroom . Thoothukudi 628002",Thoothukudi,,
"CCC - SIVANTHI ADITANAR COLLEGE, TIRUCHENDUR","sivanthi adithanar college ,tiruchendur,CORPORATION,Tiruchendur",Thoothukudi,,
CHC - Sacred Heart Hospital,"47, Kandasamypuram ,Kandasamypuram,Thoothukudi",Thoothukudi,,
CHC - Sasi Hospital,"3/535-D, NELLAI MAIN ROAD, INAMMANIYACHI,KOVILPATTI,3/535-D, NELLAI MAIN ROAD, INAMMANIYACHI,KOVILPATTI,KOVILPATTI,Kovilpatty",Thoothukudi,,
" CHC - Siva Hospital, Kovilpatti","Siva Hospital,85, AKS Theatre Road,Kovilpatti ,Kovilpatty",Thoothukudi,,
"CHC - Sree Chendur Multispeciality Hospital, Kovilpatti","46/A1 Santhaipettai Street,Kovilpatty",Thoothukudi,,
"CHC - Sri Hospitals, Kovilpatti","No 57 Ettayapuram Main Road Kovilpatti,Kovilpatty",Thoothukudi,,
 CHC - Sri Murali Hospital Kovilpatti,,Thoothukudi,,
" CHC - St.Lukes Hospital, Nazareth",,Thoothukudi,,
 CHC - Suganthi Nursing Home,"N0 77  VE Road Thoothukudi ,Thoothukudi",Thoothukudi,,
CHO - THOOTHUKUDI MEDICAL COLEGE HOSPITAL,,Thoothukudi,,
"CHO - Aswa Hospital, Valangaiman","25, Kumbakonam Main Road,Near padaikatti Mariyamman Kovil ,Valangaiman ,Valangaiman",Thiruvarur,,
CCC - CUTN,,Thiruvarur,,
CHO - GH DHQH Mannarkudi,Mannargudi,Thiruvarur,,
CHC - GH Tiruthuraipoondi,,Thiruvarur,,
"CCC - Govt Polytechnic College, Tholuvoor.",,Thiruvarur,,
CHO - Govt Thiruvarur Medical College,,Thiruvarur,,
" CCC - Jambovanadai Evacuation Centre, Muthupet	","JAMBUVANODAI ,Thiruthuraipoondi",Thiruvarur,,
CHC - Kudavasal GH,"HSC,Marriyamman Kovil Street,Kodavasal(S)",Thiruvarur,,
 CCC - Muthupettai PHC,,Thiruvarur,,
CHC - Nannilam,"HEALTH SUB CENTRE,Vaniya Street,Nannilam,Nannilam",Thiruvarur,,
"CHC - Navajeevan MedicalFoundation PVT LTD,Tiruvarur TN.","3/4 d thanchai salai,near tnsce godown,villamal,Thiruvarur",Thiruvarur,,
CHC - Needamangalam,"Government Hospital,Periyar Street,Needamangalam",Thiruvarur,,
"CHC - PKT Nursing Home,Thiruthuraipoondi","no 63 , east coast road,thiruthuraipoondi,Thiruvarur",Thiruvarur,,
CCC - POONTHOTTAM PHC,"Railway station road,Nannilam",Thiruvarur,,
 CCC - Perumpanaiyur PHC,,Thiruvarur,,
"CHC - Primary Health Centre, Alangudi, Valangaimaan Block","Primary health centre,Alangudi phc,Valangaiman ,Valangaiman",Thiruvarur,,
"CHC - Raaj Hospital, Tiruvarur TN.","10, balakrishna nagar,mannargudi,Mannargudi",Thiruvarur,,
" CCC - Thiru .Vi. Ka Govt Arts college,Thiruvarur",,Thiruvarur,,
"CHC - Thiruvarur Medical Centre, Thiruvarur TN.","NO 27 JAVULIKARA STREET,NEAR TEMPLE TANK ,THIRUVARUR,Thiruvarur",Thiruvarur,,
 CCC - Tiruvizlimilai PHC,,Thiruvarur,,
CHC - AMBUR GH,,Thirupathur,,
 CCC - AMBUR TRADE CENTRE,,Thirupathur,,
CCC - Agraharam Allopathy CCC,"agraharam ,Natrampalli",Thirupathur,,
"CCC - Agraharam Siddha,","Agraharam,Natrampalli",Thirupathur,,
 CCC - Alangayam CCC,"alangayam ccc,vaniyambadi taluk,Vaniyambadi",Thirupathur,,
CCC - Alangayam Community Health Centre,"Alangayam block,Vaniyambadi",Thirupathur,,
CCC - Andiyappanur Community Health Centre,,Thirupathur,,
 CCC - DB Centre Siddha,,Thirupathur,,
" CHO - Dr.Thangammal nurs and paramed col hos,",,Thirupathur,,
 CCC - ISLAMIAH WOMENS COLLEGE,"Islamia womens College,Vaniyambadi",Thirupathur,,
CCC - Islamia Polytechnic College,"ISLAMIAH POLYTECHNIC COLLEGE,Vaniyambadi",Thirupathur,,
 CCC - JANANI MAHAL PUTHUKOVIL,,Thirupathur,,
CCC - Jolarpet Upgraded Primary Health Centre,"jolarpet ,Natrampalli",Thirupathur,,
"CCC - KAR Polytechinic College, Ambur","K.A.R POLYTECHNIC COLLEGE AMBUR ,Ambur",Thirupathur,,
CCC - Kunichi Community Health Centre,"Nariyaneri, Kamaraj Nagar, ,Tamil Nadu 635654, India,Nariyaneri,Tirupattur",Thirupathur,,
CCC - MBC HOSTEL,,Thirupathur,,
 CCC - Madhanur Community Health Centre,"Madhanur,Ambur",Thirupathur,,
CHC - NATRAMPALLI GH,"Natrampalli gh,Natrampalli",Thirupathur,,
CCC - Nariyambut Community Health Centre,"Nariyambattu,Ambur",Thirupathur,,
 CCC - Patchur Community Hall,,Thirupathur,,
CCC - Patchur Community Health Centre,,Thirupathur,,
CCC - Pudupettai Community Health Centre,"Pudupettai,Natrampalli",Thirupathur,,
CCC - Pudurnadu Upgraded Primary Health Centre,"pudurnadu ,Tirupattur",Thirupathur,,
 CCC - SFS School siddha,,Thirupathur,,
CHO - TIRUPATTUR GH,"RAILWAY STATION ROAD,THIRUPATTUR,Tirupattur",Thirupathur,,
CCC - Thimanamathur school,,Thirupathur,,
CCC - Thiruvalluvar Arts college Kariyampatty,,Thirupathur,,
CCC - Tirupathur Dominic savior school,,Thirupathur,,
CCC - Tirupathur boys and girls school,,Thirupathur,,
CHC - VANIYAMBADI GH,,Thirupathur,,
CCC - Vijaya Shanthi jain school,,Thirupathur,,
CCC - Valanadu,,Thiruchirappalli,,
CCC - Veeramachanpatti,,Thiruchirappalli,,
"CHC - Velan Speciality Hospitals, Highways Colony","No.1 Highways colony ,Jail cornor,subramaniyapuram",Thiruchirappalli,,
"CHO - Wellcare hospital, Trichy ","C-165,9A THILLAI NAGAR WEST,NEAR VKN BLDG,THILLAI NAGAR,Thiruchirapalli-West",Thiruchirappalli,,
"CCC - Yathiri Nivas , Srirangam",,Thiruchirappalli,,
"CCC - ZONAL RAILWAY TRAINING INSTITUTE, TRICHY","Hostel No: 4, Zonal Railway Training Institute,TIRUCHIRAPALLI,Thiruchirapalli-West",Thiruchirappalli,,
"CHC - AJ Hospital, Manapparai","Eda Theru, Manaparai-621306,Trichy,Mamapparai,Manapparai",Thiruchirappalli,,
"CHO - ANNAI HOSPITAL, THURAIYUR","358,Extension,,Thuraiyur-621010,O,Thuraiyur",Thiruchirappalli,,
"CHC - ARR Hospital,MuthammaColony","4M/183/4,MUTHAMMAL COLONY,3RD STREET EXT,TUTICORIN -628002,4M/183/4,MUTHAMMAL COLONY,3RD STREET EXT,TUTICORIN -628002,MUTHAMMAL COLONY,3RD STREET EXT,Thoothukudi",Thiruchirappalli,,
CHC - ATLAS HOSPITALS,"NO:34/1 ,FIRST CROSS VN NAGAR, ,KARUR MAIN ROAD,NEAR CHATHIRAM BUS STAND,TRICHY,Tiruchirappalli-East",Thiruchirappalli,,
"CCC - Agricultural University, Kumulur",,Thiruchirappalli,,
"CHC - Aiyshwariya Hospital, Woraiyur",,Thiruchirappalli,,
"CHC - Apollo Hospital, Trichy","Chennai  Bye - Pass Road , Ariyamangalam Old Palpannai, Trichy - 620010,Trichy,Ariyamangalam,Thiruchirapalli-West",Thiruchirappalli,,
CHC - Assured Best Care Hospital(P) Ltd (ABC Hospital) Annamalai Nagar,,Thiruchirappalli,,
"CHC - Athma Hospitals, Thillai Nagar","Thillainagar,10 Cross,Trichy,Tiruchirappalli-East",Thiruchirappalli,,
"CHC - B.G.Hospital,Veeapandianpatnam","1/143-B, TUTICORIN ROAD,VEERAPANDIANPATANAM,Tiruchendur",Thiruchirappalli,,
"CCC - Bishop Heber College, Trichy","Opposite Geethanjali hospital,Vayalur road,Puthur,Thiruchirapalli-West",Thiruchirappalli,,
CHO - CETHAR HOSPITALS LIVER AND KIDNEY TRANSPLANTATION CENTRE,"C-108 fort station road thillainagar,Thiruchirapalli-West",Thiruchirappalli,,
CHO - CSI Mission Hospital Trichy,"Woraiyur,  Trichy-620003 ,Thiruchirapalli-West",Thiruchirappalli,,
"CHC - City Medical Center, Thennur","21/87, Ramarao Agraharam, Srinivasapuram, Seshapuram, Tennur, Tiruchirappalli, Tamil Nadu 620017,21/87, Ramarao Agraharam, Srinivasapuram, Seshapuram, Tennur, Tiruchirappalli, Tamil Nadu 620017,TENNUR,Thiruchirapalli-West",Thiruchirappalli,,
CHO - DECCA HOSPITAL,,Thiruchirappalli,,
"CHO - Deepan Hospital, Trichy.",,Thiruchirappalli,,
CHC - Dr.E.Palvanann,"77/153,Dindigul Road,Manapparai,Manapparai",Thiruchirappalli,,
"CHC - Dr.G.Viswanathan Hospital, Mambalasalai","Chennai Mambalasalai,trichy-05.,Trichy,Srirangam",Thiruchirappalli,,
"CHO - Dr.Sri Ramya Multispeciality hospital, Trichy",,Thiruchirappalli,,
"CHC - Ebenezer Hospital, Thoothukudi",,Thiruchirappalli,,
"CHO - Fathima Maternity Home, Trichy","THILLAINAGAR,10TH CROSS,Thillainagar,Thiruchirapalli-West",Thiruchirappalli,,
"CHC - G V N Hospital Pvt Ltd, Devathanam","GVN HOSPITAL (P) LTD.,46,SINGARATHOPE,TRICHY.620008,Trichy,46,SINGARATHOPE TRICHY ,Thiruchirapalli-West",Thiruchirappalli,,
CHO - GKM Hospital Manaparai Trichy,,Thiruchirappalli,,
"CHC - Gitanjali Medical Center (P) Ltd, Puthur",,Thiruchirappalli,,
"CHO - Gitanjali Medical Centre, Trichy.",,Thiruchirappalli,,
CCC - Govt Engg College Sethurapatty,,Thiruchirappalli,,
"CHC - Govt. Hospital, Lalgudi","Anbil Main Road, Siruthaiyur, Lalgudi ,Lalgudi",Thiruchirappalli,,
"CHC - Govt. Hospital, Manachanallur","Government hospital,Edhumalai road,Mannachanallur,Mannachanallur",Thiruchirappalli,,
"CHC - Govt. Hospital, Musiri","TRICHY-SALEM MAIN ROAD,Musiri",Thiruchirappalli,,
"CHC - Govt. Hospital, Omandhr","Omandur,Mannachanallur",Thiruchirappalli,,
"CHC - Govt. Hospital, Thiruverumbur @ Thuvakudi","Thanjavur main road,Thuvakudi,Main road,Thiruverumbur",Thiruchirappalli,,
"CHC - Govt. Hospital, Thottiam","TRICHY MAIN ROAD,THOTTIYAM,NEAR THOTTIYAM BUS STAND,Thottiam",Thiruchirappalli,,
"CHC - Govt. Hospital, Thuraiyur","Perambalur main road,Thuraiyur,Thuraiyur,Thuraiyur",Thiruchirappalli,,
"CHC - Govt. Hospital, Thuvarankurichi",,Thiruchirappalli,,
"CHO - Harshmitra Oncology Pvt Ltd, Nagamangalam","101/4A, MATHUR PANCHAYAT ROAD JUNCTION, TRICHY MADURAI BYPASS NH 45 B,NAGAMANGALAM,Srirangam",Thiruchirappalli,,
CCC - Inamkolathur,,Thiruchirappalli,,
CHO - Indiraa Seshadri Nursing Home,"No. 5 Raja colony collector's office road, cantonment,Tiruchirapalli,Near by HOTEL SANGAM,Tiruchirappalli-East",Thiruchirappalli,,
"CHC - Indiraa Seshadri Nursing Home, Raja Colony",,Thiruchirappalli,,
CHO - JAGADHA HOSPITAL,,Thiruchirappalli,,
"CHC - Jagadha Hospital,Thillai Nagar",,Thiruchirappalli,,
"CHC - Jai Hospital,Kovilpatti",,Thiruchirappalli,,
CHO - KMC specialty Hospital trichy,,Thiruchirappalli,,
"CHO - Kanapathy Memorial Hospital, Musiri","NO:6 Thuraiyur Road, MUSIRI-621211,Musiri",Thiruchirappalli,,
"CHO - Kathir Hospital, Woraiyur",,Thiruchirappalli,,
CCC - Kattuputhur,,Thiruchirappalli,,
CHO - Kauvery Hospital Heartcity(A Unit of Sri Kauvery Medical Care India Ltd),"12/52, Alexandria Road, ,12/52 Alexandria Road,Cantonment,Thiruchirapalli-West",Thiruchirappalli,,
"CHO - Kauvery Hospital, Tennur, Thiruchirappalli","No:1, K.C. Road, Tennur,Thiruchirapalli-West",Thiruchirappalli,,
CHC - Kavi Hospital & Neuro Foundation,"Senthaneer puram,Trichy,Trichy,Thiruchirapalli-West",Thiruchirappalli,,
CCC - Kulumani,"KULUMANI, ,Srirangam",Thiruchirappalli,,
"CCC - Kurinji College of Enginnerring,  Karattupatty","Kurinji Nagar, Trichy-Dindigul NH-Road, Manapparai, Tamil Nadu 621307,Manapparai",Thiruchirappalli,,
CHO - L G NURSING HOME,"37 T PET  ROAD,MUSIRI,Musiri,Musiri",Thiruchirappalli,,
CHO - LM Hospital Thuraiyur Trichy,"28,perembalur road,thuraiyur 621010,Near ceylon office bus stop, thuraiyur. 621010,Thuraiyur ,Tiruchirappalli-East",Thiruchirappalli,,
CHO - MAX CARE  HOSPITAL,"Salai Road,  Annamalai Nagar ,Woraiyur,,Trichy,Salai Road,  Annamalai Nagar ,Thiruchirapalli-West",Thiruchirappalli,,
CHO - MGM GH Trichy,,Thiruchirappalli,,
CHO - MMM Multi Speciality Hospital,"Karur bypass road ,Trichy,Thiruchirapalli-West",Thiruchirappalli,,
CHC - Manapparai HQH,"VIRALIMALAI ROAD,,MANAPPARAI,Manapparai",Thiruchirappalli,,
CHO - Mangalam Hospital,"C105,FRTSTATION ROAD,5TH CROSS,THILLAI NAGAR,TRICHY-620018,Trichy,Tiruchirappalli-East",Thiruchirappalli,,
"CHC - Marudhu Hospital, Thuraiyur",,Thiruchirappalli,,
CHO - Marudhu hospital Thuraiyur,"Near bus stand,SRS NAGAR, THURAIYUR,Thuraiyur",Thiruchirappalli,,
"CHC - Maruti Hospital,Thennur","No 95 Pattabiraman Street Thennur ,Tiruchirappalli-East",Thiruchirappalli,,
CHO - Mathuram Hospital ,"3A,3B guru medical Hall, Puthur, Trichy,Thiruchirapalli,Thiruchirapalli-West",Thiruchirappalli,,
CCC - Navalpattu,,Thiruchirappalli,,
"CCC - Nehru Memorial Arts and Science College , Puthanampatti","NEHRU MEMORIAL ARTS AND SCIENCE,PUTHANAMPATTI,Musiri",Thiruchirappalli,,
"CHC - Neuro One Hospital, Karur Bye Pass Road","55/3 Karur bypass road ,Trichy 2,Chatram bus stand ,Srirangam",Thiruchirappalli,,
"CCC - OFT, Thiruverumbur",,Thiruchirappalli,,
"CHC - Pankajam Sitaram Nursing Home, (Unit of GVN Hospitals), Sri Rangam","5,RENGANATHAPURAM EAST, SRIRANGAM , TRICHY-620006.,SRIRANGAM,Srirangam",Thiruchirappalli,,
CHO - Prabhu Nursing Home,"25, VENKATESAN ROAD, PONNAGAR,PONNAGAR,Thiruchirapalli-West",Thiruchirappalli,,
CCC - Puduruthamnur,,Thiruchirappalli,,
CCC - Pullambadi,"Ariyalur road,Near union office,Union office backside,Lalgudi",Thiruchirappalli,,
CCC - Puthanatham,,Thiruchirappalli,,
CHO - Q Med Hospital trichy,,Thiruchirappalli,,
"CHC - Q Med Hospital, Puthur",,Thiruchirappalli,,
CHO - RNR  hospital,,Thiruchirappalli,,
CHC - ROYAL PEARL HOSPITAL,"C -12 , Royal Pearl Hospital,Third cross east Thillai nagar,THILLANAGER,Thiruchirapalli-West",Thiruchirappalli,,
CHC - Railway Hospital,"Divisional railway hospital,Ponmalai,Trichy,Ponmalai,Thiruverumbur",Thiruchirappalli,,
"CHC - Rajendhira Hospital, Thiruvanaikovil",,Thiruchirappalli,,
"CHC - Retna Global Hospital, Tennur","95/1,Pattabiraman street, Tennur, Trichy,Thiruchirapalli-West",Thiruchirappalli,,
"CHO - SINDUJA HOSPITAL, MADURAI ROAD, MANAPPARAI","76 MADURAI ROAD, ,MANAPPARAI,MANAPPARAI,Manapparai",Thiruchirappalli,,
CHO - SMS HOSPITAL ,,Thiruchirappalli,,
CHO - SRI AUROMA HOSPITAL AND TAKE CARE HOME,"UDC  CAMPUS,PAPPAKURUCHI ,KATTUR,TRICHIRAPALLI,TRICHY,KATTUR,Thiruverumbur",Thiruchirappalli,,
CHO - SRI KUMARAN HOSPITAL,"50/9 VIRALIMALAI ROAD,MANAPPARAI,MANAPPARAI,Manapparai",Thiruchirappalli,,
"CHC - Sethu ENT Research Centre, Thilainagar","D-108,9th cross east,Thillainagar,Thiruchirapalli-West",Thiruchirappalli,,
"CHO - Shiyamala Nursing Home, Trichy.",,Thiruchirappalli,,
"CHO - Shree Akhshaya Hospital,thottiyam","30-azhzgunachiyaman street,oppo to vengadeswara theatre,Thottiam",Thiruchirappalli,,
CHC - Silverline speciality hospital,"NO-C23, 4TH CROSS, WEST EXTENSION, THILLAI NAGAR, TRICHY,THILLAI NAGAR,Thiruchirapalli-West",Thiruchirappalli,,
CCC - Sirukambur,,Thiruchirappalli,,
CHC - Sri Vekateswara Hospitals,"21, Chennai-Trichy Trunk Road,Srirangam,Thiruvanaikoil,Srirangam",Thiruchirappalli,,
"CHO - Srinivasa Medical college and hospital,Trichy",,Thiruchirappalli,,
CHC - Srirangam,,Thiruchirappalli,,
"CHC - Star KIMS Hospital, Thillai Nagar","D6,6 TH CROSS WEST EXTENTION,THILLAI NAGAR,Thiruchirapalli-West",Thiruchirappalli,,
"CHO - Sugam Hospital, Manapparai","Sugam Hospital, 63/5, Madurai Road, Manapparai,Trichy.,Trichy,Manapparai,Manapparai",Thiruchirappalli,,
CHO - Sundaram Hospital,"NO 17 EVR ROAD PUTHUR ,PUTHUR,Thiruchirapalli-West",Thiruchirappalli,,
CCC - T.Puthur,"UGPHC Tputhur Musiri taluk Trichy,Musiri",Thiruchirappalli,,
CCC - Thathaiangarpet,,Thiruchirappalli,,
"CHC - Thilagavathy Hospital, Airport",,Thiruchirappalli,,
