"District" "HospitalName"
"Tiruvannamalai" "CCC - Cheyyar Polytechnic College"
"Tiruvannamalai" "CCC - DSU AYUSH ANNEXURE 1"
"Tiruvannamalai" " CCC - DSU BUILDING (AYUSH)"
"Tiruvannamalai" "CHC - District Headquatres Hospital, Cheyyar"
"Tiruvannamalai" "CCC - Government Arts College, Tiruvannamalai"
"Tiruvannamalai" "CCC - Government Hospital Chetpet"
"Tiruvannamalai" "CCC - Government Tiruvannamalai Hospital"
"Tiruvannamalai" "CHO - Government Tiruvannamalai Medical College Hospital"
"Tiruvannamalai" "CHC - Government hospital polur"
"Tiruvannamalai" " CHO - INDIRA SUPER SPECIALITY HOSPITAL "
"Tiruvannamalai" "CCC - KALASAPAKKAM GH"
"Tiruvannamalai" " CCC - Navalpakkam"
"Tiruvannamalai" "CCC - Peranamallur UG PHC"
"Tiruvannamalai" "CHC - Ramana Maharishi Rangammal Hospital, Athiyandal, Tiruvannamalai."
"Tiruvannamalai" "CCC - SKP SPECIAL QUARANTINE"
"Tiruvannamalai" "CCC - ST THOMAS HOSPITAL CCC"
"Tiruvannamalai" "CHC - Sugasthala Hospital "
"Tiruvannamalai" "CCC - Thandrampattu"
"Tiruvannamalai" "CCC - Thanipadi GH"
"Tiruvannamalai" "CCC - Vandavasi GH"
"Tiruvannamalai" "CHC - Vembakkam GH"
"Tiruvallur" "CCC - ACS CCC"
"Tiruvallur" "CHC - ACS Medical College Hospital"
"Tiruvallur" "CHO - Aakash Hospital"
"Tiruvallur" "CHO - Apollo Hospital Vanagaram"
"Tiruvallur" " CCC - Athimanjeripet UGPHC Iccc"
"Tiruvallur" "CHC - Avadi GH"
"Tiruvallur" "CHC - Be Well Hospital, Poonnamallee "
"Tiruvallur" "CCC - Beerakuppam"
"Tiruvallur" " CCC - Budur"
"Tiruvallur" "CHC - Chennai Health Foundation, Ambatur"
"Tiruvallur" "CCC - Cherian Mediville CCC"
"Tiruvallur" "CCC - DD CCC"
"Tiruvallur" "CCC - Dr.Ambedkar law college pattaraiperumbudhur"
"Tiruvallur" " CCC - Eguvarpalayam"
"Tiruvallur" "CCC - IPH Poonamallee"
"Tiruvallur" " CCC - Katchur"
"Tiruvallur" " CCC - Kollumedu"
"Tiruvallur" "CHO - MMRV Hospital, Azhinjivakkam"
"Tiruvallur" "CHO - Mehta Hospital"
"Tiruvallur" " CCC - Minjur UGPHC Iccc"
"Tiruvallur" "CHO - NMCH -Tiruvallur"
"Tiruvallur" " CCC - Naravarikuppam"
"Tiruvallur" " CCC - Nemam"
"Tiruvallur" "CHC - PANIMALAR CHC"
"Tiruvallur" "CCC - Panimalar Medical College"
"Tiruvallur" "CHO - Panimalar Medical College Hospital & Research Institute"
"Tiruvallur" "CHC - Peacock Hospitals Pvt Ltd, Tiruttani"
"Tiruvallur" " CCC - Perambakkam UGPHC Iccc"
"Tiruvallur" " CCC - Periyapalayam UGPHC Iccc"
"Tiruvallur" "CHC - Ponneri GH"
"Tiruvallur" " CCC - R.K.Pet"
"Tiruvallur" " CHC - RIMS Hospitals, Redhills"
"Tiruvallur" "CHC - Raj Nursing Home Mogappair East"
"Tiruvallur" "CHC - Ravina Health Care Pvt Ltd"
"Tiruvallur" "CHC - SKS HOSPITAL"
"Tiruvallur" "CCC - Siddha CCC  (DD Campus)"
"Tiruvallur" "CHO - Sir Ivan Stedeford Hospital"
"Tiruvallur" "CHC - Sri Lalithambigai Hospital"
"Tiruvallur" "CHC - Sri Ramachandra Medical College Hospital"
"Tiruvallur" "CHC - Sri Sundharsanam Hospital ,Avadi"
"Tiruvallur" "CCC - St Peter's College"
