"importDate" "District" "No_of_Hospitals" "Normal_Bed_Vacant" "Normal_Bed_Total" "O2_Bed_Vacant" "O2_Bed_Total" "ICU_Bed_Vacant" "ICU_Bed_Total" "All_Bed_Vacant" "All_Bed_Total" "Normal_Bed_Occupancy" "O2_Bed_Occupancy" "ICU_Bed_Occupancy" "All_Bed_Occupancy"
2021-05-25 "Chengalpattu" 68 3593 4848 72 2270 6 701 3671 7550 0.258869636963696 0.968281938325991 0.991440798858773 0.513774834437086
2021-05-25 "Chennai" 267 7048 12030 1343 10440 60 2229 8451 24679 0.414131338320865 0.871360153256705 0.973082099596231 0.657563110336724
2021-05-25 "Coimbatore" 108 1337 6210 39 3835 1 708 1377 10753 0.784702093397746 0.989830508474576 0.998587570621469 0.871942713661304
2021-05-25 "Cuddalore" 53 1871 4067 14 596 24 188 1909 4851 0.539955741332678 0.976510067114094 0.872340425531915 0.606472892187178
2021-05-25 "Dharmapuri" 19 1129 1628 0 310 0 241 1129 2179 0.306511056511057 1 1 0.481872418540615
2021-05-25 "Dindigul" 54 937 2483 77 862 18 144 1032 3489 0.622633910592026 0.910672853828306 0.875 0.704213241616509
2021-05-25 "Erode" 52 986 3093 12 1389 0 267 998 4699 0.681215648237957 0.991360691144708 1 0.787614386039583
2021-05-25 "Kallakurichi" 25 1468 2015 0 411 0 62 1468 2488 0.271464019851117 1 1 0.409967845659164
2021-05-25 "Kancheepuram" 41 1908 2638 58 844 0 106 1966 3588 0.276724791508719 0.931279620853081 1 0.4520624303233
2021-05-25 "Kanniyakumari" 49 1121 2491 72 1343 19 326 1212 4160 0.549979927739863 0.946388682055101 0.941717791411043 0.708653846153846
2021-05-25 "Karur" 40 812 1504 0 499 0 142 812 2145 0.460106382978723 1 1 0.621445221445221
2021-05-25 "Krishnagiri" 39 370 852 28 1358 0 127 398 2238 0.565727699530516 0.979381443298969 1 0.822162645218945
2021-05-25 "Madurai" 105 1616 3857 114 2370 43 849 1773 7076 0.58102151931553 0.951898734177215 0.949352179034158 0.749434708875071
2021-05-25 "Mayiladuthurai" 4 43 121 3 13 0 0 46 134 0.644628099173554 0.769230769230769 NA 0.656716417910448
2021-05-25 "Nagapattinam" 14 286 773 33 226 13 42 332 1041 0.630012936610608 0.853982300884956 0.69047619047619 0.681075888568684
2021-05-25 "Namakkal" 53 536 1542 47 791 13 115 596 2302 0.652399481193256 0.940581542351454 0.88695652173913 0.741094700260643
2021-05-25 "Nilgiris" 26 442 1332 7 340 1 39 450 1711 0.668168168168168 0.979411764705882 0.974358974358974 0.736995908825248
2021-05-25 "Perambalur" 23 684 909 4 210 3 50 691 1174 0.247524752475248 0.980952380952381 0.94 0.411413969335605
2021-05-25 "Pudukkottai" 38 1272 1619 47 717 11 116 1330 2452 0.214329833230389 0.934449093444909 0.905172413793103 0.457585644371941
2021-05-25 "Ramanathapuram" 32 997 1407 38 406 20 110 1055 1923 0.291400142146411 0.9064039408867 0.818181818181818 0.451378055122205
2021-05-25 "Ranipet" 26 654 1931 16 413 0 61 670 2405 0.661315380631797 0.961259079903148 1 0.721413721413721
2021-05-25 "Salem" 74 465 4055 28 2389 0 553 493 6872 0.885326757090012 0.988279614901633 1 0.92825960419092
